[INFO ] 2015-12-29 14:11:17,452 razborpoletov.reader.parsers.StatisticParser - Parse 2012-10-23-episode-27.markdown statistic
[INFO ] 2015-12-29 14:11:32,965 razborpoletov.reader.parsers.StatisticParser - Parse 2012-11-18-episode-28.markdown statistic
[INFO ] 2015-12-29 14:11:45,599 razborpoletov.reader.parsers.StatisticParser - Parse 2012-12-05-episode-29.markdown statistic
[INFO ] 2015-12-29 14:11:58,719 razborpoletov.reader.parsers.StatisticParser - Parse 2012-12-22-episode-30.markdown statistic
[INFO ] 2015-12-29 14:12:06,003 razborpoletov.reader.parsers.StatisticParser - Parse 2013-01-16-episode-31.markdown statistic
[INFO ] 2015-12-29 14:12:14,468 razborpoletov.reader.parsers.StatisticParser - Parse 2013-01-27-episode-32.markdown statistic
[INFO ] 2015-12-29 14:12:26,629 razborpoletov.reader.parsers.StatisticParser - Parse 2013-02-20-episode-34.markdown statistic
[INFO ] 2015-12-29 14:12:42,692 razborpoletov.reader.parsers.StatisticParser - Parse 2013-03-04-episode-35.markdown statistic
[INFO ] 2015-12-29 14:12:51,291 razborpoletov.reader.parsers.StatisticParser - Parse 2013-03-28-episode-36.markdown statistic
[INFO ] 2015-12-29 14:12:58,208 razborpoletov.reader.parsers.StatisticParser - Parse 2013-03-31-episode-37.markdown statistic
[INFO ] 2015-12-29 14:13:02,752 razborpoletov.reader.parsers.StatisticParser - Parse 2013-04-22-episode-38.markdown statistic
[INFO ] 2015-12-29 14:13:10,439 razborpoletov.reader.parsers.StatisticParser - Parse 2013-05-14-episode-39.markdown statistic
[INFO ] 2015-12-29 14:13:19,504 razborpoletov.reader.parsers.StatisticParser - Parse 2013-05-30-episode-40.markdown statistic
[INFO ] 2015-12-29 14:13:31,477 razborpoletov.reader.parsers.StatisticParser - Parse 2013-06-16-episode-41.markdown statistic
[INFO ] 2015-12-29 14:13:52,342 razborpoletov.reader.parsers.StatisticParser - Parse 2013-08-15-episode-42.markdown statistic
[INFO ] 2015-12-29 14:14:03,131 razborpoletov.reader.parsers.StatisticParser - Parse 2013-08-23-episode-43.markdown statistic
[INFO ] 2015-12-29 14:14:15,338 razborpoletov.reader.parsers.StatisticParser - Parse 2013-09-16-episode-44.markdown statistic
[INFO ] 2015-12-29 14:18:41,625 razborpoletov.reader.parsers.StatisticParser - Parse 2013-09-24-episode-45.markdown statistic
[INFO ] 2015-12-29 14:18:52,479 razborpoletov.reader.parsers.StatisticParser - Parse 2013-09-25-episode-46.markdown statistic
[INFO ] 2015-12-29 14:19:01,840 razborpoletov.reader.parsers.StatisticParser - Parse 2013-09-26-episode-47.markdown statistic
[INFO ] 2015-12-29 14:19:08,548 razborpoletov.reader.parsers.StatisticParser - Parse 2013-11-08-episode-48.markdown statistic
[INFO ] 2015-12-29 14:19:47,200 razborpoletov.reader.parsers.StatisticParser - Parse 2013-11-17-episode-49.markdown statistic
[INFO ] 2015-12-29 14:19:56,666 razborpoletov.reader.parsers.StatisticParser - Parse 2013-12-01-episode-50.markdown statistic
[INFO ] 2015-12-29 14:20:04,297 razborpoletov.reader.parsers.StatisticParser - Parse 2013-12-15-episode-51.markdown statistic
[INFO ] 2015-12-29 14:20:12,583 razborpoletov.reader.parsers.StatisticParser - Parse 2013-12-22-episode-52.markdown statistic
